question,answer,type,columns_used,column_types,sample_answer,dataset
What are the top 3 reasons for choosing a school among students who want to take higher education?,"['course', 'home', 'reputation']",list[category],"['higher', 'reason']","['category', 'category']","['course', 'home', 'reputation']",042_Predict
What are the 5 most common mother's jobs among students with a final grade above 10?,"['other', 'services', 'teacher', 'health', 'at_home']",list[category],"['G3', 'Mjob']","['number[uint8]', 'category']","['other', 'at_home', 'services']",042_Predict
What are the top 4 schools among students with absences above 10?,"['GP', 'MS']",list[category],"['absences', 'school']","['number[uint8]', 'category']","['MS', 'GP']",042_Predict
What are the top 2 family relations among students with a final grade below 10?,"[4, 5]",list[category],"['G3', 'famrel']","['number[uint8]', 'number[uint8]']","[4, 5]",042_Predict
What are the top 5 ages of students who want to take higher education?,"[16, 17, 15, 18, 19]",list[number],"['higher', 'age']","['category', 'number[uint8]']","[18, 15, 16, 17, 20]",042_Predict
What are the 3 lowest final grades of students who have more than 10 absences?,"[4, 14, 17]",list[number],"['absences', 'G3']","['number[uint8]', 'number[uint8]']","[6, 9]",042_Predict
What are the top 4 ages of students whose mother's education level is above 3?,"[15, 16, 18, 17]",list[number],"['Medu', 'age']","['number[uint8]', 'number[uint8]']","[15, 17]",042_Predict
What are the 6 lowest final grades of students who don't want to take higher education?,"[8, 10, 12, 9, 7, 13]",list[number],"['higher', 'G3']","['category', 'number[uint8]']","[10, 12]",042_Predict
Is it true that the oldest company (based on approval year) is from an urban (UrbanRural=1) area?,False,boolean,"['ApprovalFY', 'UrbanRural']","['number[uint16]', 'number[uint8]']",False,043_Predict
Are all companies with more than 10 employees located in an urban (UrbanRural=1) area?,False,boolean,"['NoEmp', 'UrbanRural']","['number[uint16]', 'number[uint8]']",True,043_Predict
"Are all companies with a default amount greater than $250,000 in the food sector?",False,boolean,"['default_amount', 'Sector']","['number[uint32]', 'category']",False,043_Predict
Is the average number of retained jobs higher for companies located in urban (UrbanRural=1) areas than those in rural (UrbanRural=0) areas?,True,boolean,"['UrbanRural', 'RetainedJob']","['number[uint8]', 'number[uint16]']",True,043_Predict
How many companies have a franchise code of 1?,57340,number,['FranchiseCode'],['number[uint32]'],14,043_Predict
What is the average disbursement gross for companies in the retail sector?,164636.4123068934,number,"['Sector', 'DisbursementGross']","['category', 'number[uint32]']",,043_Predict
What is the highest approval year in the dataset?,2010,number,['ApprovalFY'],['number[uint16]'],2008,043_Predict
How many unique sectors are there in the dataset?,20,number,['Sector'],['category'],8,043_Predict
What is the most common sector among companies with a franchise code of 1?,Retail trade,category,"['FranchiseCode', 'Sector']","['number[uint32]', 'category']",Other services (except public administration),043_Predict
What is the state of the company with the highest disbursement gross?,ME,category,"['DisbursementGross', 'State']","['number[uint32]', 'category']",FL,043_Predict
What is the bank for the company with the highest default amount?,COMMUNITY BANK & TRUST,category,"['default_amount', 'Bank']","['number[uint32]', 'category']","READYCAP LENDING, LLC",043_Predict
What is the sector of the company with the most number of employees?,Health care and social assistance,category,"['NoEmp', 'Sector']","['number[uint16]', 'category']",Construction,043_Predict
What are the top 3 sectors among companies with a franchise code of 1?,"['Retail trade', 'Other services (except public administration)', 'Manufacturing']",list[category],"['FranchiseCode', 'Sector']","['number[uint32]', 'category']","['Other services (except public administration)', 'Construction', 'Manufacturing']",043_Predict
What are the 5 most common banks among companies with an approval year earlier than 2000?,"['WELLS FARGO BANK NATL ASSOC', 'BANK OF AMERICA NATL ASSOC', 'U.S. BANK NATIONAL ASSOCIATION', 'JPMORGAN CHASE BANK NATL ASSOC', 'PNC BANK, NATIONAL ASSOCIATION']",list[category],"['ApprovalFY', 'Bank']","['number[uint16]', 'category']","['TRUSTMARK NATIONAL BANK', 'KEYBANK NATIONAL ASSOCIATION']",043_Predict
"What are the top 4 states among companies with a disbursement gross greater than $1,000,000?","['CA', 'TX', 'FL', 'AZ']",list[category],"['DisbursementGross', 'State']","['number[uint32]', 'category']",[],043_Predict
"What are the top 2 sectors among companies with a default amount greater than $500,000?","['Retail trade', 'Accommodation and food services']",list[category],"['default_amount', 'Sector']","['number[uint32]', 'category']",[],043_Predict
What are the top 5 approval years for companies in the retail sector?,"[2005, 2004, 2006, 2007, 2003]",list[number],"['Sector', 'ApprovalFY']","['category', 'number[uint16]']",[],043_Predict
What are the 3 highest disbursement gross for companies with a franchise code of 1?,"[50000.0, 100000.0, 10000.0]",list[number],"['FranchiseCode', 'DisbursementGross']","['number[uint32]', 'number[uint32]']","[249719.0, 136000.0, 125000.0]",043_Predict
What are the top 4 approval years for companies in the state of CA?,"[2007, 2004, 2006, 2003]",list[number],"['State', 'ApprovalFY']","['category', 'number[uint16]']","[2006, 2004, 2003]",043_Predict
What are the 6 highest default amounts among companies in the state of NY?,"[0.0, 50000.0, 25000.0, 100000.0, 35000.0, 10000.0]",list[number],"['State', 'default_amount']","['category', 'number[uint32]']","[49996.0, 12942.0]",043_Predict
Is it true that the oldest movie (based on year) in the drama genre is from the USA?,False,boolean,"['year', 'genre', 'country']","['number[UInt16]', 'category', 'category']",False,044_IMDb
"Are all movies from the USA, with more than 80 minutes duration in the drama genre, in English?",False,boolean,"['duration', 'genre', 'country', 'language']","['number[uint16]', 'category', 'category', 'category']",False,044_IMDb
Are all movies with votes greater than 90 from the USA in English?,True,boolean,"['votes', 'country', 'language']","['number[UInt8]', 'category', 'category']",False,044_IMDb
Is the average duration of English language movies from the USA longer than those from non-USA countries?,False,boolean,"['country', 'language', 'duration']","['category', 'category', 'number[uint16]']",False,044_IMDb
"How many movies from the USA, in the drama genre, have a metascore of 100?",6,number,"['metascore', 'genre', 'country']","['number[UInt8]', 'category', 'category']",0,044_IMDb
"What is the average duration for movies in the drama genre, from the USA, in English?",96.07926963408374,number,"['genre', 'country', 'language', 'duration']","['category', 'category', 'category', 'number[uint16]']",100.0,044_IMDb
What is the latest year for English language movies from the USA in the dataset?,2020.0,number,"['country', 'language', 'year']","['category', 'category', 'number[UInt16]']",1994,044_IMDb
How many unique languages are there in the dataset for movies from the USA?,650,number,"['country', 'language']","['category', 'category']",3,044_IMDb
What is the most common genre among English language movies from the USA with a metascore of 100?,"Adventure, Family, Fantasy",category,"['metascore', 'country', 'language', 'genre']","['number[UInt8]', 'category', 'category', 'category']",0,044_IMDb
What is the country of the English language movie with the longest duration?,Argentina,category,"['duration', 'language', 'country']","['number[uint16]', 'category', 'category']",USA,044_IMDb
What is the language of the movie from the USA with the highest metascore?,English,category,"['metascore', 'country', 'language']","['number[UInt8]', 'category', 'category']",0,044_IMDb
What is the genre of the English language movie from the USA with the most votes?,Drama,category,"['votes', 'country', 'language', 'genre']","['number[uint32]', 'category', 'category', 'category']","Romance, Western",044_IMDb
What are the top 3 genres among English language movies from the USA with a metascore of 100?,"['Adventure, Family, Fantasy', 'Drama, Mystery', 'Drama, Romance, War']",list[category],"['metascore', 'country', 'language', 'genre']","['number[UInt8]', 'category', 'category', 'category']",[],044_IMDb
What are the 5 most common countries among English language movies with a year earlier than 2000?,"['USA', 'UK', 'Canada', 'UK, USA', 'Australia']",list[category],"['year', 'language', 'country']","['number[UInt16]', 'category', 'category']",['USA'],044_IMDb
What are the top 4 languages among movies from the USA with a duration greater than 180 minutes?,"['English', 'English, Spanish', 'English, Russian', 'English, Hungarian']",list[category],"['duration', 'country', 'language']","['number[uint16]', 'category', 'category']",[],044_IMDb
What are the top 2 genres among English language movies from the USA with a metascore greater than 90?,"['Drama', 'Crime, Drama']",list[category],"['metascore', 'country', 'language', 'genre']","['number[UInt8]', 'category', 'category', 'category']",[],044_IMDb
What are the top 5 years for English language movies from the USA in the drama genre?,"[2017.0, 2016.0, 2015.0, 2013.0, 2018.0]",list[number],"['genre', 'country', 'language', 'year']","['category', 'category', 'category', 'number[UInt16]']",[1994],044_IMDb
What are the 3 longest durations for English language movies from the USA with a metascore of 100?,"[102, 119, 112]",list[number],"['metascore', 'country', 'language', 'duration']","['number[UInt8]', 'category', 'category', 'number[uint16]']",[],044_IMDb
What are the four years with more English language movies from the USA?,"[2017.0, 2016.0, 2018.0, 2013.0]",list[number],"['country', 'language', 'year']","['category', 'category', 'number[UInt16]']","[1994, 1942, 1951, 1964]",044_IMDb
Can you show the 6 highest metascores among English language movies from the USA?,"[49.0, 55.0, 57.0, 48.0, 54.0, 52.0]",list[number],"['country', 'language', 'metascore']","['category', 'category', 'number[UInt8]']",[],044_IMDb
Is it true that the song with the lowest popularity in the dataset is longer than 300000 ms?,True,boolean,"['popularity', 'duration_ms']","['number[uint8]', 'number[UInt32]']",False,045_Predict
Did any song released in the year 2020 in the dataset achieve the maximum popularity?,False,boolean,"['release_year', 'popularity']","['number[uint16]', 'number[uint8]']",False,045_Predict
Does the song with the longest duration also have the highest energy?,False,boolean,"['duration_ms', 'energy']","['number[UInt32]', 'number[double]']",False,045_Predict
Does the song with the highest energy also have the highest popularity?,False,boolean,"['energy', 'popularity']","['number[double]', 'number[uint8]']",True,045_Predict
How many unique artists are there in the dataset?,13056,number,['artists'],['list[category]'],20,045_Predict
What's the average song duration in the dataset?,228998.0798095238,number,['duration_ms'],['number[UInt32]'],256381.1,045_Predict
What's the maximum popularity score in the dataset?,94,number,['popularity'],['number[uint8]'],59,045_Predict
How many songs were released in the year with the most releases?,489,number,['release_year'],['number[uint16]'],2,045_Predict
Who is the artist with the highest popularity score?,['Giveon'],category,"['popularity', 'artists']","['number[uint8]', 'list[category]']","['Victorious Cast', 'Elizabeth Gillies', 'Ariana Grande']",045_Predict
In which month was the most popular song released?,3.0,category,"['popularity', 'release_month']","['number[uint8]', 'number[UInt8]']",8.0,045_Predict
What's the name of the longest duration song?,Monster Tunes Yearmix 2011 - Mixed by Mark Eteson,category,"['duration_ms', 'name']","['number[UInt32]', 'category']",Ölmez Bu Hareket / Çileli Müjde,045_Predict
What's the name of the song with the most energy?,Marathon (Mix Cut) - Simon O'Shine Mix,category,"['energy', 'name']","['number[double]', 'category']",Give It Up (feat. Elizabeth Gillies & Ariana Grande),045_Predict
What are the top 5 most common artist names in the dataset?,"['Die drei ???', 'Benjamin Blümchen', 'TKKG Retro-Archiv', 'Bibi Blocksberg', 'Lata Mangeshkar']",list[category],['artists'],['list[category]'],"[""['Victorious Cast', 'Elizabeth Gillies', 'Ariana Grande']"", ""['Julio Iglesias']"", ""['Ari Lasso']"", ""['Romeo Santos', 'Mala Rodríguez']"", ""['Funkmaster Flex', 'Big Kap', 'Eminem', 'Dr. Dre']""]",045_Predict
What are the names of the top 3 most popular songs?,"[Heartbreak Anniversary, Good Days, Paradise (feat. Dermot Kennedy)]",list[category],"['popularity', 'name']","['number[uint8]', 'category']","['Give It Up (feat. Elizabeth Gillies & Ariana Grande)', 'Lächeln', 'Winter Winds']",045_Predict
